X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,Y
8.4,10,130,2.904,1.892,1.892,1.3244,0.0823,0.3753,0.3975,0.2919,3.982,0.9959,1.6424,5.346,0.33,5.777256122
14.4,12,104,3.17,1.89,1.51,1.89,0.07,0.45,0.4,0.21,4.78,0.8,1.19,6.8,0.3,4.998271386
8.4,10,130,1.848,1.892,1.892,1.3244,0.0524,0.3753,0.3975,0.1858,3.982,0.9959,1.0451,3.402,0.21,4.865842107
15,10,130,3.3,1.892,1.892,2.1758,0.0935,0.3753,0.3975,0.2256,3.982,0.9959,1.1198,6.075,0.225,4.732441536
9,10,130,3.3,1.892,1.892,1.419,0.0935,0.3753,0.3975,0.3053,3.982,0.9959,1.1198,5.589,0.255,4.70971584
12,8,130,3.17,1.51,2.27,1.89,0.06,0.38,0.48,0.21,4.78,1,1.19,4.86,0.3,4.52884502
13.2,10,130,2.904,1.892,1.892,2.0812,0.0823,0.3753,0.3975,0.3451,3.982,0.9959,1.94,3.4,0.27,4.405673355
10.8,10,130,1.848,1.892,1.892,1.3244,0.0823,0.3753,0.3975,0.19,3.982,0.9959,1.64,6.32,0.39,4.357257388
15,10,130,3.3,1.892,1.892,1.6082,0.0561,0.3753,0.3975,0.3053,3.982,0.9959,1.8663,5.589,0.375,4.301497598
14.4,8,130,2.11,2.27,1.89,2.27,0.07,0.45,0.4,0.21,4.78,0.8,1.49,5.83,0.36,4.29711127
13.2,10,130,1.848,1.892,1.892,1.7028,0.0673,0.3753,0.3975,0.29,3.982,0.9959,1.94,6.32,0.27,4.27956885
8.4,10,130,3.696,1.892,1.892,1.3244,0.0972,0.3753,0.3975,0.3451,3.982,0.9959,1.941,6.318,0.39,4.217570164
10.2,10,130,3.3,1.892,1.892,1.6082,0.0561,0.3753,0.3975,0.3053,3.982,0.9959,1.8663,5.589,0.375,4.185600339
13.2,10,130,3.696,1.892,1.892,2.0812,0.0972,0.3753,0.3975,0.29,3.982,0.9959,1.64,4.374,0.21,4.181085776
13.2,10,130,1.848,1.892,1.892,2.4596,0.0673,0.3753,0.3975,0.29,3.982,0.9959,1.94,6.32,0.27,4.102193109
9.6,8,156,3.17,1.89,1.89,1.51,0.07,0.3,0.32,0.32,4.78,1,1.49,5.83,0.24,4.091199282
13.8,10,130,3.3,1.892,1.892,1.6082,0.086,0.3753,0.3975,0.3318,3.982,0.9959,1.2691,5.346,0.225,4.084432657
12,10,156,3.17,2.27,1.51,1.51,0.09,0.45,0.32,0.21,3.98,1,1.19,5.83,0.24,4.064053328
12,12,156,2.11,1.51,1.89,1.89,0.09,0.45,0.32,0.21,3.98,1,1.49,4.86,0.3,4.045018056
9.6,12,130,2.64,1.51,1.51,2.27,0.07,0.3,0.32,0.32,4.78,1,1.19,6.8,0.36,4.024327543
10.8,10,130,2.904,1.892,1.892,2.0812,0.0524,0.3753,0.3975,0.29,3.982,0.9959,1.0451,4.374,0.27,3.958265999
13.8,10,130,2.244,1.892,1.892,2.365,0.0636,0.3753,0.3975,0.2256,3.982,0.9959,1.1198,5.346,0.375,3.935901968
12,8,104,2.64,1.89,2.27,2.27,0.09,0.45,0.32,0.21,3.98,1,1.79,6.8,0.36,3.916902397
14.4,12,104,3.17,1.89,1.51,1.89,0.09,0.3,0.48,0.27,3.19,1,1.49,4.86,0.36,3.89323245
12,12,104,2.64,2.27,1.89,1.51,0.09,0.3,0.4,0.32,3.98,0.8,1.49,4.86,0.36,3.873038509
10.8,10,130,2.904,1.892,1.892,2.4596,0.0673,0.3753,0.3975,0.24,3.982,0.9959,1.64,3.4,0.39,3.855246402
12,8,104,2.64,1.89,2.27,2.27,0.06,0.3,0.4,0.27,4.78,1.2,1.19,4.86,0.24,3.802194191
13.8,10,130,3.036,1.892,1.892,2.365,0.086,0.3753,0.3975,0.3318,3.982,0.9959,1.1198,5.589,0.345,3.756305189
8.4,10,130,1.848,1.892,1.892,1.7028,0.0673,0.3753,0.3975,0.3451,3.982,0.9959,1.64,4.374,0.33,3.74136833
14.4,10,104,3.17,1.51,1.89,2.27,0.07,0.3,0.48,0.21,3.98,1.2,1.79,4.86,0.3,3.741115796
9,10,130,3.3,1.892,1.892,1.6082,0.086,0.3753,0.3975,0.3318,3.982,0.9959,1.2691,5.346,0.225,3.727114305
9.6,12,130,2.64,1.51,1.51,2.27,0.09,0.38,0.4,0.21,3.19,1.2,1.49,4.86,0.24,3.699072673
13.8,10,130,1.98,1.892,1.892,1.419,0.0561,0.3753,0.3975,0.1991,3.982,0.9959,1.1198,5.346,0.225,3.698835405
10.2,10,130,2.244,1.892,1.892,2.365,0.0935,0.3753,0.3975,0.1991,3.982,0.9959,1.717,5.589,0.225,3.68459797
10.8,10,130,2.904,1.892,1.892,1.3244,0.0524,0.3753,0.3975,0.29,3.982,0.9959,1.0451,4.374,0.27,3.645976077
8.4,10,130,3.696,1.892,1.892,2.4596,0.0823,0.3753,0.3975,0.19,3.982,0.9959,1.34,5.346,0.27,3.6290245
13.2,10,130,3.696,1.892,1.892,1.7028,0.0823,0.3753,0.3975,0.24,3.982,0.9959,1.0451,3.4,0.33,3.62837981
15.6,10,130,3.696,1.892,1.892,1.7028,0.0524,0.3753,0.3975,0.24,3.982,0.9959,1.64,6.32,0.27,3.616945434
13.2,10,130,3.696,1.892,1.892,2.4596,0.0823,0.3753,0.3975,0.24,3.982,0.9959,1.0451,3.4,0.33,3.586023045
10.2,10,130,3.036,1.892,1.892,1.6082,0.086,0.3753,0.3975,0.1991,3.982,0.9959,1.1198,6.075,0.375,3.569991321
13.8,10,130,3.036,1.892,1.892,2.1758,0.0935,0.3753,0.3975,0.3053,3.982,0.9959,1.2691,5.346,0.375,3.511601468
9,10,130,1.98,1.892,1.892,1.6082,0.0636,0.3753,0.3975,0.2256,3.982,0.9959,1.2691,5.589,0.255,3.498263257
9,10,130,1.98,1.892,1.892,1.419,0.0561,0.3753,0.3975,0.1991,3.982,0.9959,1.1198,5.346,0.225,3.497424079
13.8,10,130,1.98,1.892,1.892,2.365,0.0935,0.3753,0.3975,0.3318,3.982,0.9959,1.8663,6.318,0.375,3.464218443
14.4,10,156,2.64,1.51,2.27,1.51,0.07,0.45,0.4,0.21,4.78,0.8,1.79,4.86,0.24,3.421157698
15.6,10,130,3.696,1.892,1.892,2.0812,0.0673,0.3753,0.3975,0.29,3.982,0.9959,1.0451,5.346,0.39,3.400499357
13.2,10,130,2.904,1.892,1.892,2.4596,0.0972,0.3753,0.3975,0.19,3.982,0.9959,1.34,4.374,0.39,3.389038523
13.8,10,130,3.3,1.892,1.892,2.1758,0.0636,0.3753,0.3975,0.1991,3.982,0.9959,1.717,6.318,0.375,3.300513187
14.4,8,130,2.11,2.27,1.89,2.27,0.06,0.38,0.32,0.32,3.98,1.2,1.19,4.86,0.3,3.299497479
12,8,130,3.17,1.51,2.27,1.89,0.09,0.3,0.4,0.32,3.98,0.8,1.79,6.8,0.24,3.286421075
10.2,10,130,3.3,1.892,1.892,2.365,0.086,0.3753,0.3975,0.1991,3.982,0.9959,1.2691,6.318,0.255,3.285102904
10.8,10,130,2.376,1.892,1.892,2.4596,0.0823,0.3753,0.3975,0.29,3.982,0.9959,1.34,6.32,0.21,3.26544019
10.2,10,130,3.036,1.892,1.892,2.1758,0.0636,0.3753,0.3975,0.3318,3.982,0.9959,1.8663,5.589,0.225,3.256967794
13.2,10,130,3.696,1.892,1.892,1.3244,0.0972,0.3753,0.3975,0.29,3.982,0.9959,1.64,4.374,0.21,3.254323535
14.4,12,130,2.11,1.89,2.27,1.51,0.07,0.3,0.48,0.21,3.98,1.2,1.19,6.8,0.36,3.244874524
15.6,10,130,2.904,1.892,1.892,2.4596,0.0673,0.3753,0.3975,0.19,3.982,0.9959,1.94,5.346,0.21,3.224661083
9,10,130,3.3,1.892,1.892,2.365,0.0561,0.3753,0.3975,0.2256,3.982,0.9959,1.8663,6.075,0.345,3.217268798
13.2,10,130,2.376,1.892,1.892,1.7028,0.0524,0.3753,0.3975,0.3451,3.982,0.9959,1.64,5.346,0.21,3.207626821
13.8,10,130,1.98,1.892,1.892,1.6082,0.0636,0.3753,0.3975,0.2256,3.982,0.9959,1.2691,5.589,0.255,3.200763439
13.8,10,130,2.244,1.892,1.892,1.419,0.086,0.3753,0.3975,0.3053,3.982,0.9959,1.8663,6.318,0.225,3.149389592
9.6,10,104,2.11,2.27,2.27,1.89,0.09,0.38,0.4,0.21,3.19,1.2,1.19,5.83,0.36,3.135628614
14.4,12,130,2.11,1.89,2.27,1.51,0.06,0.45,0.4,0.32,3.19,1,1.79,5.83,0.3,3.133311276
14.4,8,130,2.11,2.27,1.89,2.27,0.09,0.3,0.48,0.27,3.19,1,1.79,6.8,0.24,3.128511077
10.8,10,130,1.848,1.892,1.892,2.4596,0.0972,0.3753,0.3975,0.3451,3.982,0.9959,1.0451,5.346,0.27,3.121264819
13.8,10,130,3.036,1.892,1.892,1.6082,0.0561,0.3753,0.3975,0.2256,3.982,0.9959,1.717,6.318,0.225,3.115013986
15.6,10,130,2.904,1.892,1.892,1.3244,0.0524,0.3753,0.3975,0.3451,3.982,0.9959,1.34,6.32,0.33,3.111652931
9,10,130,1.98,1.892,1.892,2.1758,0.086,0.3753,0.3975,0.3053,3.982,0.9959,1.717,6.075,0.345,3.058406538
9.6,12,130,2.64,1.51,1.51,2.27,0.06,0.45,0.48,0.27,3.98,0.8,1.79,5.83,0.3,3.042604066
8.4,10,130,2.904,1.892,1.892,2.0812,0.0823,0.3753,0.3975,0.29,3.982,0.9959,1.64,5.346,0.33,3.036598344
8.4,10,130,3.696,1.892,1.892,2.0812,0.0972,0.3753,0.3975,0.3451,3.982,0.9959,1.94,6.32,0.39,2.981219056
13.8,10,130,2.244,1.892,1.892,1.6082,0.0935,0.3753,0.3975,0.3318,3.982,0.9959,1.717,6.075,0.255,2.956821337
12,12,104,2.64,2.27,1.89,1.51,0.06,0.38,0.48,0.21,4.78,1,1.79,5.83,0.24,2.955372862
9.6,10,130,2.64,1.89,1.89,1.89,0.06,0.3,0.32,0.21,3.19,0.8,1.49,6.8,0.3,2.926406143
12,8,104,2.64,1.89,2.27,2.27,0.07,0.38,0.48,0.32,3.19,0.8,1.49,5.83,0.3,2.889659791
13.8,10,130,3.3,1.892,1.892,2.365,0.0561,0.3753,0.3975,0.2256,3.982,0.9959,1.8663,6.075,0.345,2.820014068
9,10,130,3.036,1.892,1.892,2.365,0.086,0.3753,0.3975,0.3318,3.982,0.9959,1.1198,5.589,0.345,2.766078139
15,10,130,3.036,1.892,1.892,2.1758,0.0636,0.3753,0.3975,0.3318,3.982,0.9959,1.8663,5.589,0.225,2.74673374
8.4,10,130,2.376,1.892,1.892,2.4596,0.0524,0.3753,0.3975,0.29,3.982,0.9959,1.94,3.4,0.39,2.739554025
10.2,10,130,1.98,1.892,1.892,2.365,0.0636,0.3753,0.3975,0.3053,3.982,0.9959,1.2691,6.075,0.225,2.719937778
9,10,130,3.036,1.892,1.892,2.1758,0.0935,0.3753,0.3975,0.3053,3.982,0.9959,1.2691,5.346,0.375,2.687747051
14.4,8,156,2.64,2.27,1.51,1.89,0.06,0.45,0.4,0.32,3.19,1,1.19,4.86,0.36,2.633925047
9.6,10,130,2.64,1.89,1.89,1.89,0.07,0.38,0.4,0.27,3.98,1,1.79,4.86,0.36,2.625648841
9,10,130,3.036,1.892,1.892,1.6082,0.0561,0.3753,0.3975,0.2256,3.982,0.9959,1.717,6.318,0.225,2.585966308
9,10,130,2.244,1.892,1.892,2.1758,0.0561,0.3753,0.3975,0.1991,3.982,0.9959,1.2691,5.589,0.345,2.58200578
10.2,10,130,2.244,1.892,1.892,2.1758,0.086,0.3753,0.3975,0.2256,3.982,0.9959,1.8663,5.346,0.255,2.573271561
10.2,10,130,2.244,1.892,1.892,1.419,0.0561,0.3753,0.3975,0.3318,3.982,0.9959,1.2691,6.075,0.375,2.544364656
10.2,10,130,1.98,1.892,1.892,1.6082,0.0935,0.3753,0.3975,0.1991,3.982,0.9959,1.8663,5.346,0.345,2.543753082
13.8,10,130,2.244,1.892,1.892,2.1758,0.0561,0.3753,0.3975,0.1991,3.982,0.9959,1.2691,5.589,0.345,2.543736297
13.8,10,130,1.98,1.892,1.892,2.1758,0.086,0.3753,0.3975,0.3053,3.982,0.9959,1.717,6.075,0.345,2.54117134
10.8,10,130,3.696,1.892,1.892,2.4596,0.0524,0.3753,0.3975,0.19,3.982,0.9959,1.94,4.374,0.33,2.524387663
15.6,10,130,1.848,1.892,1.892,1.7028,0.0972,0.3753,0.3975,0.29,3.982,0.9959,1.34,3.4,0.33,2.452872921
15,10,130,3.036,1.892,1.892,2.365,0.0561,0.3753,0.3975,0.3053,3.982,0.9959,1.717,5.346,0.255,2.412940808
9.6,10,104,2.11,2.27,2.27,1.89,0.06,0.45,0.48,0.27,3.98,0.8,1.49,6.8,0.24,2.368755428
10.2,10,130,3.036,1.892,1.892,2.365,0.0561,0.3753,0.3975,0.3053,3.982,0.9959,1.717,5.346,0.255,2.327447645
9.6,8,104,2.11,1.51,1.51,1.51,0.09,0.45,0.48,0.32,4.78,1.2,1.79,6.8,0.36,2.318105051
12,10,156,2.11,1.89,1.51,2.27,0.06,0.38,0.48,0.21,4.78,1,1.49,6.8,0.36,2.311649611
15,10,130,1.98,1.892,1.892,1.6082,0.0935,0.3753,0.3975,0.1991,3.982,0.9959,1.8663,5.346,0.345,2.260135764
9,10,130,2.244,1.892,1.892,1.6082,0.0935,0.3753,0.3975,0.3318,3.982,0.9959,1.717,6.075,0.255,2.234666978
15.6,10,130,1.848,1.892,1.892,2.0812,0.0823,0.3753,0.3975,0.24,3.982,0.9959,1.94,4.374,0.21,2.227785988
15,10,130,2.244,1.892,1.892,1.419,0.0561,0.3753,0.3975,0.3318,3.982,0.9959,1.2691,6.075,0.375,2.121069862
10.8,10,130,1.848,1.892,1.892,2.0812,0.0823,0.3753,0.3975,0.19,3.982,0.9959,1.64,6.32,0.39,2.114513763
9.6,10,130,2.64,1.89,1.89,1.89,0.09,0.45,0.48,0.32,4.78,1.2,1.19,5.83,0.24,2.110041249
15,10,130,1.98,1.892,1.892,2.365,0.0636,0.3753,0.3975,0.3053,3.982,0.9959,1.2691,6.075,0.225,2.100178304
15.6,10,130,2.376,1.892,1.892,1.3244,0.0972,0.3753,0.3975,0.19,3.982,0.9959,1.64,3.4,0.27,2.05152623
15,10,130,3.3,1.892,1.892,2.365,0.086,0.3753,0.3975,0.1991,3.982,0.9959,1.2691,6.318,0.255,1.956612501
10.8,10,130,1.848,1.892,1.892,1.7028,0.0972,0.3753,0.3975,0.3451,3.982,0.9959,1.0451,5.346,0.27,1.948731374
8.4,10,130,1.848,1.892,1.892,2.0812,0.0524,0.3753,0.3975,0.19,3.982,0.9959,1.0451,3.4,0.21,1.855825341
15,10,130,2.244,1.892,1.892,1.6082,0.0636,0.3753,0.3975,0.3053,3.982,0.9959,1.1198,6.318,0.345,1.833545237
10.2,10,130,1.98,1.892,1.892,2.1758,0.0561,0.3753,0.3975,0.3318,3.982,0.9959,1.1198,6.318,0.255,1.826042458
10.8,10,130,2.904,1.892,1.892,1.7028,0.0673,0.3753,0.3975,0.24,3.982,0.9959,1.64,3.4,0.39,1.708887888
15,10,130,2.244,1.892,1.892,2.1758,0.086,0.3753,0.3975,0.2256,3.982,0.9959,1.8663,5.346,0.255,1.692185452
8.4,10,130,2.904,1.892,1.892,1.7028,0.0972,0.3753,0.3975,0.24,3.982,0.9959,1.0451,6.32,0.21,1.678396683
15,10,130,1.98,1.892,1.892,1.419,0.086,0.3753,0.3975,0.2256,3.982,0.9959,1.717,5.589,0.375,1.591371594
13.2,10,130,2.376,1.892,1.892,2.0812,0.0673,0.3753,0.3975,0.19,3.982,0.9959,1.0451,6.32,0.33,1.553494781
13.2,10,130,1.848,1.892,1.892,2.0812,0.0524,0.3753,0.3975,0.24,3.982,0.9959,1.34,5.346,0.39,0.892431192
